,Unnamed: 0,origin_x,origin_y,destination_x,destination_y,treq,success,n_itineraries,duration,walkDistance,transfers,transitTime,waitingTime,modes,PT_fare,u_PT
90,90,19.88948,50.01844,19.956319315310267,50.06798740392809,2024-03-28 07:55:50,True,3.0,2135.0,537.491330819571,0.0,1680.0,2.0,"[['TRAM', 1680, 8862], ['WALK', 453, 537]]",2.764,11.793366096447498
91,91,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 07:56:54,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]",1.126,5.612057324484347
92,92,19.88948,50.01844,19.925410714188555,50.032779224490085,2024-03-28 07:50:36,True,3.0,735.0,281.9347443529082,0.0,480.0,2.0,"[['TRAM', 480, 3065], ['WALK', 253, 281]]",1.504,4.842619342058631
93,93,19.88948,50.01844,19.86152711303839,50.01791522363754,2024-03-28 07:54:05,True,3.0,1193.0,1205.108714276495,0.0,240.0,2.0,"[['WALK', 50, 43], ['BUS', 240, 1511], ['WALK', 901, 1161]]",1.252,9.135800833279555
94,94,19.88948,50.01844,20.009873824321133,50.034131668100216,2024-03-28 07:48:16,True,3.0,2714.0,383.84640600979725,1.0,1980.0,422.0,"[['WALK', 50, 43], ['BUS', 1140, 6366], ['BUS', 840, 4009], ['WALK', 262, 340]]",3.079,16.95210403505715
95,95,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:56:25,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
96,96,19.88948,50.01844,19.88011039203673,50.014883949384775,2024-03-28 07:48:23,True,3.0,685.0,664.9537368293682,0.0,120.0,2.0,"[['WALK', 199, 201], ['BUS', 120, 943], ['WALK', 364, 462]]",1.126,5.438896798171314
97,97,19.88948,50.01844,19.93822362825267,50.049209082554,2024-03-28 07:51:44,True,3.0,1130.0,186.7574210471971,0.0,960.0,2.0,"[['TRAM', 960, 6019], ['WALK', 168, 186]]",2.008,6.471418289441984
98,98,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 07:59:41,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]",1.126,5.612057324484347
99,99,19.88948,50.01844,19.93562969314135,50.087582303139854,2024-03-28 07:48:41,True,3.0,2613.0,326.64572931873505,0.0,2340.0,2.0,"[['TRAM', 2340, 11379], ['WALK', 271, 326]]",3.457,13.566433421025955
100,100,19.88948,50.01844,20.00319965158005,50.08393502399752,2024-03-28 07:51:15,True,3.0,2715.0,748.7523007318641,0.0,2040.0,2.0,"[['WALK', 50, 43], ['BUS', 2040, 12920], ['WALK', 623, 704]]",3.142,14.663721754269208
101,101,19.88948,50.01844,19.90970544339953,50.07170128606364,2024-03-28 07:48:13,True,3.0,2132.0,772.8616390943354,1.0,1440.0,78.0,"[['TRAM', 900, 5468], ['WALK', 164, 215], ['BUS', 540, 2694], ['WALK', 450, 557]]",2.512,14.356359561383623
102,102,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 08:12:12,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
103,103,19.88948,50.01844,19.86152711303839,50.01791522363754,2024-03-28 08:09:32,True,3.0,1193.0,1205.108714276495,0.0,240.0,2.0,"[['WALK', 50, 43], ['BUS', 240, 1511], ['WALK', 901, 1161]]",1.252,9.135800833279555
104,104,19.88948,50.01844,19.89025801381177,50.09184543984393,2024-03-28 08:11:42,True,3.0,2819.0,677.9068872130473,2.0,2220.0,60.0,"[['TRAM', 360, 2784], ['WALK', 62, 79], ['BUS', 1140, 4846], ['BUS', 720, 4721], ['WALK', 477, 598]]",3.331,18.97545684207611
105,105,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:52:02,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
106,106,19.88948,50.01844,19.966280112814403,50.03784569637047,2024-03-28 07:48:12,True,3.0,1727.0,683.6964887106566,0.0,1140.0,2.0,"[['WALK', 50, 43], ['BUS', 1140, 6366], ['WALK', 535, 640]]",2.197,10.189229517478832
107,107,19.88948,50.01844,19.98485702298316,50.08796386842873,2024-03-28 07:52:50,True,3.0,2847.0,635.5597443561347,1.0,2280.0,56.0,"[['TRAM', 1680, 8862], ['WALK', 186, 244], ['BUS', 600, 3324], ['WALK', 325, 390]]",3.3939999999999997,17.223431842077453
108,108,19.88948,50.01844,20.01864836410917,50.01189488594205,2024-03-28 07:57:05,True,3.0,2560.0,424.60880450412117,1.0,2160.0,42.0,"[['TRAM', 1680, 9121], ['WALK', 80, 103], ['BUS', 480, 3094], ['WALK', 278, 321]]",3.268,15.348884692940707
109,109,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 07:51:50,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]",1.126,5.612057324484347
110,110,19.88948,50.01844,19.8944574398021,50.00234556464199,2024-03-28 08:11:13,True,3.0,946.0,636.265285705758,0.0,420.0,2.0,"[['WALK', 50, 43], ['BUS', 420, 2517], ['WALK', 474, 592]]",1.4409999999999998,6.636547499950255
111,111,19.88948,50.01844,20.00775520826945,50.09150013954137,2024-03-28 07:57:07,True,3.0,2448.0,313.77314284723224,0.0,2160.0,2.0,"[['WALK', 50, 43], ['BUS', 2160, 13550], ['WALK', 236, 270]]",3.268,12.67234333327552
112,112,19.88948,50.01844,19.97507830224864,50.03920911861551,2024-03-28 08:04:22,True,3.0,2266.0,1383.6223157741047,0.0,1140.0,2.0,"[['WALK', 50, 43], ['BUS', 1140, 6366], ['WALK', 1074, 1339]]",2.197,14.272130175348945
113,113,19.88948,50.01844,19.896832819715183,50.02338990498389,2024-03-28 07:56:49,True,3.0,478.0,439.95178946833465,0.0,120.0,2.0,"[['TRAM', 120, 1182], ['WALK', 356, 439]]",1.126,4.126385438565285
114,114,19.88948,50.01844,19.86517482021967,49.99033788575227,2024-03-28 07:47:51,True,3.0,960.0,124.51618796427199,0.0,840.0,2.0,"[['WALK', 50, 43], ['BUS', 840, 4939], ['WALK', 68, 81]]",1.882,5.562344429791586
115,115,19.88948,50.01844,19.93849826408901,50.06247416717434,2024-03-28 07:59:56,True,3.0,1848.0,499.54880449282757,0.0,1380.0,2.0,"[['TRAM', 1380, 7293], ['WALK', 466, 498]]",2.449,10.207034692874828
116,116,19.88948,50.01844,19.8904281607904,50.01147754141,2024-03-28 08:04:43,True,3.0,725.0,694.6383984830309,0.0,120.0,2.0,"[['WALK', 50, 43], ['BUS', 120, 842], ['WALK', 553, 650]]",1.126,5.612057324484347
117,117,19.88948,50.01844,19.750020781917765,50.04298906178825,2024-03-28 08:07:45,True,3.0,3359.0,1581.146240596785,1.0,1920.0,211.0,"[['TRAM', 720, 4704], ['WALK', 151, 196], ['BUS', 1200, 11205], ['WALK', 1077, 1384]]",3.016,22.186353070147916
118,118,19.88948,50.01844,19.947149505549167,50.06925456517236,2024-03-28 08:04:26,True,3.0,2038.0,723.0248270602209,0.0,1440.0,2.0,"[['TRAM', 1440, 7785], ['WALK', 596, 722]]",2.512,11.783644824517957
119,119,19.88948,50.01844,19.903453043152297,49.986252508501714,2024-03-28 08:13:13,True,3.0,2086.0,108.26745864231023,1.0,1380.0,602.0,"[['WALK', 50, 43], ['BUS', 960, 5534], ['BUS', 420, 2944], ['WALK', 54, 64]]",2.449,13.874560175413476
